"","date","ratio_upt_pre","ratio_upt_pre_bus","ratio_upt_pre_rail","workplaces_time","reopened","INDIVIDUAL_gap_z","cases_p","dose2_cum","ratio_vrm_pre","ratio_vrm_pre_bus","ratio_vrm_pre_rail","pop_month","month","MSA.Code","flex_pct","val_upt","val_upt_bus","val_upt_rail","val_vrm","val_vrm_bus","val_vrm_rail","pct_transitcommute","pct_noveh"
"1944","2021-03-01",0.635239938765957,0.635239938765957,NA,-0.219032258064516,0,0.000347999949381826,0.0157990567349881,0.17,1.00755009029151,1.00755009029151,NA,158046,3,"C2710",0.29461449283232,25105,25105,NA,29292,29292,NA,0.00376667155210318,0.0689211778320689
"1945","2021-04-01",0.599056186030035,0.599056186030035,NA,-0.252,0,0.000347878887546568,0.0211792077079672,0.318,0.953547166566343,0.953547166566343,NA,158101,4,"C2710",0.2936376556101,23675,23675,NA,27722,27722,NA,0.00376667155210318,0.0689211778320689
"1946","2021-05-01",0.553383686947281,0.553383686947281,NA,-0.218709677419355,0,0.000739486025610234,0.00586695664268464,0.421,0.905494883480953,0.905494883480953,NA,158218,5,"C2710",0.291749128177825,21870,21870,NA,26325,26325,NA,0.00376667155210318,0.0689211778320689
"1947","2021-06-01",0.556723725661366,0.556723725661366,NA,-0.186666666666667,0,0.000278019992164891,0.000644859458570941,0.471,0.953581563333047,0.953581563333047,NA,158262,6,"C2710",0.289320524984187,22002,22002,NA,27723,27723,NA,0.00376667155210318,0.0689211778320689
"1948","2021-07-01",0.560190280993409,0.560190280993409,NA,-0.225161290322581,1,-0.000746155402670983,0.00144145055445269,0.488,0.940338808152034,0.940338808152034,NA,158144,7,"C2710",0.289220165738635,22139,22139,NA,27338,27338,NA,0.00376667155210318,0.0689211778320689
"1949","2021-08-01",0.571146620108551,0.571146620108551,NA,-0.186451612903226,1,-0.000468147023470614,0.00610087625020547,0.505,0.966514747613724,0.966514747613724,NA,158070,8,"C2710",0.289092864048496,22572,22572,NA,28099,28099,NA,0.00376667155210318,0.0689211778320689
"1950","2021-09-01",0.576232588150454,0.576232588150454,NA,-0.184,1,-0.000753398205772676,0.0100332545171773,0.523,0.965379654312495,0.965379654312495,NA,157951,9,"C2710",0.288743748524048,22773,22773,NA,28066,28066,NA,0.00376667155210318,0.0689211778320689
"1951","2021-10-01",0.571728596551157,0.571728596551157,NA,-0.134193548387097,1,-0.00100765564794159,0.0154829491572572,0.535,0.991211626107146,0.991211626107146,NA,157792,10,"C2710",0.290356914363627,22595,22595,NA,28817,28817,NA,0.00376667155210318,0.0689211778320689
"1952","2021-11-01",0.55158715097228,0.55158715097228,NA,-0.18,1,-0.00115474906414568,0.02905660854502,0.546,0.955817353168802,0.955817353168802,NA,157610,11,"C2710",0.290135409029014,21799,21799,NA,27788,27788,NA,0.00376667155210318,0.0689211778320689
"1953","2021-12-01",0.578383370655736,0.578383370655736,NA,-0.215161290322581,1,-0.0010161956176564,0.0202498514294385,0.569,1.03317568148594,1.03317568148594,NA,157450,12,"C2710",0.290309993254812,22858,22858,NA,30037,30037,NA,0.00376667155210318,0.0689211778320689
"1954","2020-04-01",0.683855734608347,0.683855734608347,NA,-0.387675482537155,0,-0.000155300134766006,0.00167566979285612,0,1.02691235600286,1.02691235600286,NA,579523,4,"C2714",0.29516575323157,28963,28963,NA,62445,62445,NA,0.00319886887371694,0.0512595868686253
"1955","2020-05-01",0.704657340180627,0.704657340180627,NA,-0.294197803445115,0,-0.000153598166486606,0.00293328588481411,0,1.01097708379585,1.01097708379585,NA,579434,5,"C2714",0.28484187498503,29844,29844,NA,61476,61476,NA,0.00319886887371694,0.0512595868686253
"1956","2020-06-01",0.825004427129449,0.825004427129449,NA,-0.240500511683676,0,-0.000188150002157684,0.00435328647216229,0,1.05159640510784,1.05159640510784,NA,579325,6,"C2714",0.278371927436254,34941,34941,NA,63946,63946,NA,0.00319886887371694,0.0512595868686253
"1957","2020-07-01",0.857871436160793,0.857871436160793,NA,-0.286588964965002,0,-0.000226176376136493,0.0110594206328504,0,1.03771676657046,1.03771676657046,NA,579194,7,"C2714",0.281810723165873,36333,36333,NA,63102,63102,NA,0.00319886887371694,0.0512595868686253
"1958","2020-08-01",0.871896582256065,0.871896582256065,NA,-0.256462531316997,0,-0.00035406544856638,0.00614469840534971,0,1.0366313919929,1.0366313919929,NA,578989,8,"C2714",0.280987794912938,36927,36927,NA,63036,63036,NA,0.00319886887371694,0.0512595868686253
"1959","2020-09-01",0.85827282923086,0.85827282923086,NA,-0.241980836189325,0,-4.14532830136537e-05,0.00325978237022629,0,0.984220955951882,0.984220955951882,NA,578965,9,"C2714",0.281924891133176,36350,36350,NA,59849,59849,NA,0.00319886887371694,0.0512595868686253
"1960","2020-10-01",0.986388052653326,0.986388052653326,NA,-0.204454983485259,0,-0.000115737141949013,0.00514447901353146,0,1.05090571219484,1.05090571219484,NA,578898,10,"C2714",0.27192690502941,41776,41776,NA,63904,63904,NA,0.00319886887371694,0.0512595868686253
"1961","2020-11-01",0.934513901186471,0.934513901186471,NA,-0.252786100945104,0,-0.00018141200740161,0.00955650030317531,0,0.962529909469893,0.962529909469893,NA,578793,11,"C2714",0.271839986671592,39579,39579,NA,58530,58530,NA,0.00319886887371694,0.0512595868686253
"1962","2020-12-01",0.952009916769966,0.952009916769966,NA,-0.282671139616482,0,-0.000183173287113759,0.0182337058387591,0,1.01929828889053,1.01929828889053,NA,578687,12,"C2714",0.27025391363315,40320,40320,NA,61982,61982,NA,0.00319886887371694,0.0512595868686253
"1963","2021-01-01",1.04695118351927,1.04695118351927,NA,-0.243972033638881,0,-0.000141720171792501,0.0167066005842387,0,0.967118083820519,0.967118083820519,NA,578605,1,"C2714",0.277859262609609,44341,44341,NA,58809,58809,NA,0.00319886887371694,0.0512595868686253
"1964","2021-02-01",0.567239242075438,0.567239242075438,NA,-0.3194434465208,0,-0.000184961745762302,0.00579919947898762,0,0.941694006594473,0.941694006594473,NA,578498,2,"C2714",0.279007992066699,24024,24024,NA,57263,57263,NA,0.00319886887371694,0.0512595868686253
"1965","2021-03-01",0.902662180508825,0.902662180508825,NA,-0.232341929388158,1,-8.98960317817048e-05,0.0037763032651376,0.152,1.06483468594029,1.06483468594029,NA,578446,3,"C2714",0.27759375,38230,38230,NA,64751,64751,NA,0.00319886887371694,0.0512595868686253
"1966","2021-04-01",0.904480255002656,0.904480255002656,NA,-0.237551404450995,1,-0.000143508488613552,0.00216109578439485,0.238,1.02331088581366,1.02331088581366,NA,578363,4,"C2714",0.29005625445051,38307,38307,NA,62226,62226,NA,0.00319886887371694,0.0512595868686253
"1967","2021-05-01",0.824532199988194,0.824532199988194,NA,-0.257110571323068,1,-0.000249040588427568,0.00141136311418912,0.271,0.974353914337634,0.974353914337634,NA,578219,5,"C2714",0.289085350709412,34921,34921,NA,59249,59249,NA,0.00319886887371694,0.0512595868686253
"1968","2021-06-01",0.889581488696063,0.889581488696063,NA,-0.271466905727267,1,-0.000380623495888401,0.00169467223380603,0.298,1.01503901592705,1.01503901592705,NA,577999,6,"C2714",0.287771717128673,37676,37676,NA,61723,61723,NA,0.00319886887371694,0.0512595868686253
"1969","2021-07-01",0.853786671388938,0.853786671388938,NA,-0.296152864104666,1,-0.000197271083347033,0.009705064841511,0.345,0.928340610276524,0.928340610276524,NA,577885,7,"C2714",0.280392656096263,36160,36160,NA,56451,56451,NA,0.00319886887371694,0.0512595868686253
"1970","2021-08-01",0.89102178147689,0.89102178147689,NA,-0.276283306531568,1,-0.000366989629080812,0.0241952898131369,0.377,0.978399401399476,0.978399401399476,NA,577673,8,"C2714",0.282012107226145,37737,37737,NA,59495,59495,NA,0.00319886887371694,0.0512595868686253
"1971","2021-09-01",0.96553922436692,0.96553922436692,NA,-0.243082393096919,1,-0.00016274829936684,0.0106862817923793,0.435,0.966591841601092,0.966591841601092,NA,577579,9,"C2714",0.282614324934216,40893,40893,NA,58777,58777,NA,0.00319886887371694,0.0512595868686253
"1972","2021-10-01",1.07993624933593,1.07993624933593,NA,-0.214239146271371,1,-0.00027709514234897,0.00349644913478431,0.457,0.936678260440564,0.936678260440564,NA,577419,10,"C2714",0.285895081638451,45738,45738,NA,56958,56958,NA,0.00319886887371694,0.0512595868686253
