"MSA.Code","MSA.Title","MSA.Name","date","ridership","ridership2019","ridership_19pct","onsite_pct","iv","net_mig_rate","vrm","vrm_19pct","covid_cases","vaccine","reopened","pop_million","transitcommute_pct","noveh_pct"
"C2074","Eau Claire, WI","",2021-08-01,25350,46198,54.8725053032599,85.9668870467415,34.1628314596616,-0.872981230903536,53381,91.9616862197874,0.00986292905226758,0.54,1,0.164952,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-09-01,44588,64974,68.6243728260535,86.6414021277203,34.2177473857254,-1.13494977695506,60260,101.246681676132,0.0182226526525932,0.564,1,0.164765,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-10-01,49855,76787,64.9263547215023,91.7098495133564,34.5957383064703,-1.86064611848546,61324,90.5044422798784,0.0167788624359058,0.583,1,0.164459,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-11-01,50019,78033,64.0998039291069,85.8090789849562,34.6534171029668,-1.30902803146538,60600,104.04147924321,0.0202011799865722,0.595,1,0.164244,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-12-01,44186,72769,60.7209113770974,83.2748546816881,34.9987054712601,-1.01171394093053,60892,106.545817221046,0.0240453457075463,0.62,1,0.164078,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-01-01,25487,42042,60.6227106227106,88.3659454046165,31.3045748593203,-0.866191684559828,45861,85.0553608190063,0.0668896718496557,0.636,1,0.163936,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-02-01,61192,108246,56.530495353177,93.2119563210183,31.0849327059853,-0.402758284005614,58747,100.948535097517,0.0122276554154016,0.646,1,0.16387,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-03-01,57033,95985,59.4186591654946,93.762670633788,30.9809457489174,-0.244155527070744,63940,106.80519827615,0.00259644578062707,0.651,1,0.16383,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-04-01,56776,103269,54.9787448314596,95.6345118444251,NA,-0.12819808435434,61671,98.4075061034961,0.00483045862620093,0.655,1,0.163809,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-05-01,46344,84712,54.7077155538767,93.3253881383019,NA,-0.953236420963869,57558,95.0037137905422,0.00987481209931851,0.659,1,0.163653,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-06-01,28466,44251,64.328489751644,87.6226653740269,NA,-0.905171095685147,54096,104.670871870284,0.0057513947726476,0.661,1,0.163505,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-07-01,27715,46381,59.7550721200492,84.2124118749201,NA,-0.550745035645443,51581,90.7173886280096,0.00751008573618447,0.663,1,0.163415,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2022-08-01,30328,46198,65.6478635438764,87.9110928836066,NA,-0.495916343198599,56022,96.511447620032,0.00753979335381178,0.667,1,0.163334,0.483576852941855,5.50217307749165
"C2094","El Centro, CA","",2020-04-01,14383,63141,22.7791767631175,58.4,18.4908536987023,0.0664267921394963,46388,61.4036481084372,0.00163362498615572,0,0,0.18065,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-05-01,15707,67642,23.2207799887644,65.1935483870968,17.1723634947734,-0.503990385414186,44356,56.5873572749888,0.0097352973751246,0,0,0.180559,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-06-01,16872,53291,31.6601302283688,65.9333333333333,17.1722388692152,-0.454351524016911,46133,65.7802429703987,0.0229870417543471,0,0,0.180477,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-07-01,15948,52309,30.4880613278786,62.5806451612903,19.8984082968221,-0.460103994589621,46304,62.7697646676066,0.0172998117177982,0,0,0.180394,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-08-01,16408,62944,26.067615658363,64.8709677419355,20.0309064099711,-0.371547244727634,45673,62.2680609142592,0.00749252408904641,0,0,0.180327,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-09-01,20159,66974,30.0997401976887,64.0333333333333,19.6943726317487,-0.649242550357916,43753,59.3261016949153,0.00658433935098018,0,0,0.18021,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-10-01,23952,75895,31.5593912642467,68.4193548387097,17.744404523869,0.510255016583288,46828,57.4887055588293,0.00625761435374903,0,0,0.180302,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-11-01,21037,57415,36.6402508055386,67.1333333333333,16.7756948877154,0.332664308446347,39311,58.0099164772895,0.0179089600177207,0,0,0.180362,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2020-12-01,21473,53030,40.4921742409957,64.1290322580645,17.1303894113139,0.282684728927516,44344,63.5519376289842,0.0331985823457747,0,0,0.180413,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2021-01-01,18635,57498,32.4098229503635,66.0967741935484,18.5524766970865,-0.0166287899783826,40903,54.1682668750248,0.021558312105438,0,0,0.18041,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2021-02-01,19348,58058,33.3252953942609,70.3214285714286,18.5112128366983,-0.155226131210431,38914,59.191992942107,0.00411451988038542,0,0,0.180382,0.743653303701171,7.07262716308338
"C2094","El Centro, CA","",2021-03-01,24034,67435,35.6402461629718,72.6774193548387,18.7898086066073,-0.177432769614638,46005,60.1647812724776,0.00314542031232695,0.161,0,0.18035,0.743653303701171,7.07262716308338
