state,date,vmt,vmt19,vmt_19pct,onsite_pct,iv,net_mig_rate,vrm,vrm_19pct,covid_cases,cases_p_1000,vacc_cum,dose1_cum,vacc_cum_pct,vaccine_p,dose_tot_p,dose_p_lag3,dose_p_lag3_6,dose_p_lag6_9,vaccine_p_1000,reopened,pop_million_old,gdp,gdp_pct,gdp_p,gdp_p_in1000,inc_p,inc_p_pct,ppl_persqkm,UR,UR_19_pct,transitcommute_pct,noveh_pct,fare,swaa_wfh,swaa_sample_count,year,pop_million,l_pop_million
AL,2021-12-01,6041,6071,99.5058474715862,78.1040462392326,29.242126458812,0.0419405761366714,121950.549778041,99.883833646429,0.0104039225281861,10.4039225281861,0.477,0.586,47.7,0.0806576609679312,1.1717239499921,0.22665327177253,0.240004659058625,0.341850637108944,80.6576609679312,1,4.887868,17752.4333333333,104.188182082285,3631.93796013586,3.63193796013586,49150.0,112.479117559558,36.521700550376,2.7,87.0967741935484,0.3306044606679915,5.604306501949834,0.2417176397359081,25.76,43.0,2021,5.049846,1.6193577477727799
AL,2022-01-01,5465,5374,101.693338295497,81.4933370516657,28.2858292251094,0.0257774457169956,113159.174732652,82.5051375461872,0.0658026585139016,65.8026585139016,0.495,0.612,49.5,0.0761365500857816,1.24783029602737,0.23169483329383,0.261323954515932,0.209888408228636,76.1365500857816,1,4.887994,17732.4583333333,105.279732354632,3627.75779457449,3.62775779457449,49455.0,115.50318798608,36.521700550376,2.6,70.2702702702703,0.3306044606679915,5.604306501949834,0.2697607351408843,37.0,72.0,2022,5.074296,1.6241877960936286
AL,2022-02-01,5505,5098,107.983522950177,88.3260310439501,28.305088339432,-0.136884696638754,107752.29849026,88.2246524380773,0.0125442854731371,12.5442854731371,0.502,0.619,50.2,0.0241359025642862,1.27213700746318,0.180930113617999,0.225055179745052,0.22995004307794,24.1359025642862,1,4.887325,17732.4583333333,105.279732354632,3628.25437909968,3.62825437909968,49455.0,115.50318798608,36.521700550376,2.6,72.2222222222222,0.3306044606679915,5.604306501949834,0.2697607351408843,27.52,85.0,2022,5.074296,1.6241877960936286
AL,2022-03-01,6366,6039,105.41480377546,88.3353311749277,28.248512091724,-0.165148271222985,113621.356094159,90.3527088740735,0.0032256097286452,3.22560972864522,0.507,0.623,50.7,0.013389697940333,1.28573679663106,0.113662150590401,0.22665327177253,0.240004659058625,13.389697940333,1,4.886518,17732.4583333333,105.279732354632,3628.85357903794,3.62885357903794,49455.0,115.50318798608,36.521700550376,2.5,73.5294117647059,0.3306044606679915,5.604306501949834,0.2697607351408843,27.14,39.0,2022,5.074296,1.6241877960936286
AL,2022-04-01,5910,6410,92.1996879875195,89.3888695459141,28.3169753189533,-0.0816599022659907,111537.899454523,87.5885140892456,0.00110639957807,1.10639957807004,0.511,0.627,51.1,0.0235526396307581,1.30939442940297,0.0610782401353773,0.231694833293831,0.261323954515932,23.5526396307581,1,4.886119,17692.6333333333,104.629155985023,3620.99927024564,3.62099927024564,50108.0,116.125144843569,36.521700550376,2.5,75.7575757575758,0.3306044606679915,5.604306501949834,0.2697607351408843,25.11,34.0,2022,5.074296,1.6241877960936286
AL,2022-05-01,6371,6463,98.576512455516,85.766004111389,28.2572091422284,-0.114418817904191,113001.934498066,87.5106608660143,0.0029126650783124,2.91266507831241,0.514,0.63,51.4,0.0171513603353556,1.32669560910111,0.0540936979064467,0.180930113617999,0.225055179745052,17.1513603353556,1,4.88556,17692.6333333333,104.629155985023,3621.41358070177,3.62141358070177,50108.0,116.125144843569,36.521700550376,2.5,80.6451612903226,0.3306044606679915,5.604306501949834,0.2697607351408843,39.63,40.0,2022,5.074296,1.6241877960936286
AL,2022-06-01,6187,6391,96.8080112658426,82.3895464217334,28.2171915175425,-0.0659128582885829,115593.131775319,94.4029797290627,0.0086593529322419,8.65935293224199,0.516,0.633,51.6,0.0150876989002378,1.34187075430102,0.0557916988663516,0.113662150590401,0.22665327177253,15.0876989002378,1,4.885238,17692.6333333333,104.629155985023,3621.65227842192,3.62165227842192,50108.0,116.125144843569,36.521700550376,2.6,86.6666666666667,0.3306044606679915,5.604306501949834,0.2697607351408843,15.83,77.0,2022,5.074296,1.6241877960936286
AL,2022-07-01,6176,6261,98.6423893946654,80.0172950641633,28.270959300152,-0.0546574380891923,122019.981876411,81.7449960239967,0.0137452197771491,13.7452197771491,0.519,0.636,51.9,0.0166428828339001,1.3585869803526,0.0488819420694936,0.0610782401353773,0.231694833293831,16.6428828339001,1,4.884971,17745.525,104.268599011108,3632.67765560942,3.63267765560942,51064.0,117.515476491842,36.521700550376,2.6,86.6666666666667,0.3306044606679915,5.604306501949834,0.2697607351408843,31.53,105.0,2022,5.074296,1.6241877960936286
AL,2022-08-01,6148,6471,95.0084994591253,85.2512909376264,28.310468862223,-0.0489279657512428,129994.724660094,87.1468126038675,0.0112992892957075,11.2992892957075,0.522,0.639,52.2,0.0153656331606319,1.37401908641047,0.0470962148947699,0.0540936979064467,0.180930113617999,15.3656331606319,1,4.884732,17745.525,104.268599011108,3632.85539513734,3.63285539513734,51064.0,117.515476491842,36.521700550376,2.6,86.6666666666667,0.3306044606679915,5.604306501949834,0.2697607351408843,29.05,110.0,2022,5.074296,1.6241877960936286
AL,2022-09-01,6027,5815,103.645743766122,85.6083419660094,28.3616252281538,-0.113222713581955,116965.274330542,84.0027401627118,0.008707707068066,8.70770706806609,0.523,0.641,52.3,0.0107969015877592,1.38497155816771,0.0428054175822913,0.0557916988663516,0.113662150590401,10.7969015877592,1,4.884179,17745.525,104.268599011108,3633.26671688323,3.63326671688323,51064.0,117.515476491842,36.521700550376,2.6,86.6666666666667,0.3306044606679915,5.604306501949834,0.2697607351408843,20.29,100.0,2022,5.074296,1.6241877960936286
AL,2022-10-01,6123,5922,103.39412360689,86.7384380405209,28.4881266818083,-0.0268220132152673,106896.582348911,73.3414835662644,0.0024881000350528,2.48810003505289,0.525,0.643,52.5,0.0167299748077824,1.40173868070093,0.0428925095561736,0.0488819420694937,0.0610782401353773,16.7299748077824,1,4.884048,17917.6333333333,105.157732980283,3668.60303857238,3.66860303857238,51891.0,118.751859395382,36.521700550376,2.6,86.6666666666667,0.3306044606679915,5.604306501949834,0.2697607351408843,23.18,101.0,2022,5.074296,1.6241877960936286
AL,2022-11-01,6233,5530,112.712477396022,,28.4139165635047,0.0106467926537131,103722.309113665,81.590514890726,0.0030707806965459,3.07078069654593,0.529,0.647,52.9,0.0365133801519215,1.43823713683176,0.0640402565474632,0.04709621489477,0.0540936979064468,36.5133801519215,1,4.8841,17917.6333333333,105.157732980283,3668.5639797165,3.6685639797165,51891.0,118.751859395382,36.521700550376,2.6,86.6666666666667,0.3306044606679915,5.604306501949834,0.2697607351408843,33.27,91.0,2022,5.074296,1.6241877960936286
AL,2022-12-01,6368,6071,104.892110031296,,28.3692985095971,0.00266169107881,115202.047496,95.2602502054827,0.0040230436928875,4.02304369288753,0.53,0.648,53.0,0.0114137408368725,1.44964704952568,0.0646570957965765,0.0428054175822913,0.0557916988663516,11.4137408368725,1,4.884113,17917.6333333333,105.157732980283,3668.55421513248,3.66855421513248,51891.0,118.751859395382,36.521700550376,2.6,83.8709677419355,0.3306044606679915,5.604306501949834,0.2697607351408843,29.71,91.0,2022,5.074296,1.6241877960936286
AL,2023-01-01,6237,5374,116.058801637514,,,-0.0321460717500321,86865.9162860782,76.6750737883859,0.008517890005561,8.51789000556107,0.531,0.649,53.1,0.0071180002440644,1.45681165022781,0.0550451212328586,0.0428925095561736,0.0488819420694937,7.11800024406444,1,4.883956,,,,,,,36.521700550376,2.6,70.2702702702703,0.3306044606679915,5.604306501949834,,25.43,93.0,2023,,
AL,2023-02-01,5976,5098,117.222440172617,,,-0.201311782801175,95500.6319432403,82.2130983272634,0.0056959151729899,5.6959151729899,0.532,0.65,53.2,0.0040338130069529,1.46113873658527,0.02256555408789,0.0640402565474632,0.04709621489477,4.03381300695294,1,4.882973,,,,,,,36.521700550376,2.5,69.4444444444444,0.3306044606679915,5.604306501949834,,23.65,90.0,2023,,
AL,2023-03-01,6890,6039,114.091737042557,,,-0.302981013599525,128331.806591497,99.0426978262105,0.0020561328150767,2.0561328150767,0.532,0.651,53.2,0.0034018273913683,1.46498326127206,0.0145536406423857,0.0646570957965766,0.0428054175822914,3.4018273913683,1,4.881494,,,,,,,36.521700550376,2.3,67.6470588235294,0.3306044606679915,5.604306501949834,,23.34,74.0,2023,,
AZ,2020-04-01,4265,6572,64.8965307364577,55.7931654370052,33.8400870954326,-0.198400175662178,2857367.43425172,93.093182094298,0.0008847198844486,0.884719884448617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.177413,25854.1666666667,96.0460897400177,3602.15674737773,3.60215674737774,54775.0,114.395806357295,21.6750660847361,13.8,287.5,1.387031006538451,5.582068873513773,0.860118616150803,,,2020,7.179943,1.971291444309958
AZ,2020-05-01,5242,6673,78.5553723962236,64.002487560592,33.2551022587434,-0.932541558553485,2538455.7867983,80.521112460175,0.001713634016974,1.71363401697401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.170726,25854.1666666667,96.0460897400177,3605.51590824509,3.60551590824509,54775.0,114.395806357295,21.6750660847361,11.2,233.333333333333,1.387031006538451,5.582068873513773,0.860118616150803,57.06,34.0,2020,7.179943,1.971291444309958
AZ,2020-06-01,5681,6111,92.9635084274259,68.2380151147482,32.9173614250869,-0.545849243471367,2694635.15295993,89.8098056697702,0.0082969922199738,8.29699221997389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.166814,25854.1666666667,96.0460897400177,3607.48397637593,3.60748397637593,54775.0,114.395806357295,21.6750660847361,9.7,202.083333333333,1.387031006538451,5.582068873513773,0.860118616150803,,,2020,7.179943,1.971291444309958
AZ,2020-07-01,5033,5688,88.4845288326301,62.6275310229295,33.2481579706331,-0.155741980753306,2748923.62464421,86.8988049421821,0.0132169957483556,13.2169957483556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.165698,27641.0333333333,101.293236131945,3857.40975035975,3.85740975035975,53238.0,110.095955000414,21.6750660847361,8.9,185.416666666667,1.387031006538451,5.582068873513773,0.860118616150803,47.03,28.0,2020,7.179943,1.971291444309958
AZ,2020-08-01,4403,5233,84.1391171412192,66.1997105367264,32.9028242768912,0.0006977682440927,2777945.59699229,88.2803121880745,0.0038737301839051,3.87373018390519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.165703,27641.0333333333,101.293236131945,3857.40705878172,3.85740705878172,53238.0,110.095955000414,21.6750660847361,8.0,166.666666666667,1.387031006538451,5.582068873513773,0.860118616150803,55.25,53.0,2020,7.179943,1.971291444309958
AZ,2020-09-01,4818,4867,98.9932196424902,66.1369412372839,32.8144876064708,0.296184645107178,2715990.01124454,92.1516148098852,0.0023221824860145,2.32218248601459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.167826,27641.0333333333,101.293236131945,3856.26455404098,3.85626455404098,53238.0,110.095955000414,21.6750660847361,7.6,161.702127659574,1.387031006538451,5.582068873513773,0.860118616150803,30.25,26.0,2020,7.179943,1.971291444309958
AZ,2020-10-01,5463,5607,97.4317817014446,69.9333028312901,32.7056732560215,1.33933565997565,2822961.99177726,89.5064682926734,0.0038246232395705,3.82462323957055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.177439,28181.8416666667,102.259504332652,3926.44809195406,3.92644809195406,51886.0,106.297631729902,21.6750660847361,7.0,148.936170212766,1.387031006538451,5.582068873513773,0.860118616150803,34.3,35.0,2020,7.179943,1.971291444309958
AZ,2020-11-01,5140,5023,102.329285287677,68.666742300344,32.5506376342725,1.00116470822723,2713479.6192378,91.7237137517636,0.0112857554847625,11.2857554847625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.184632,28181.8416666667,102.259504332652,3922.51707069571,3.92251707069571,51886.0,106.297631729902,21.6750660847361,6.8,144.68085106383,1.387031006538451,5.582068873513773,0.860118616150803,59.75,41.0,2020,7.179943,1.971291444309958
AZ,2020-12-01,6021,6102,98.6725663716814,65.4948548935104,32.5623980879604,0.775221182814512,2855908.23653248,94.0216214371669,0.0273682005772853,27.3682005772853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.190206,28181.8416666667,102.259504332652,3919.47625237256,3.91947625237256,51886.0,106.297631729902,21.6750660847361,6.6,140.425531914894,1.387031006538451,5.582068873513773,0.860118616150803,42.53,66.0,2020,7.179943,1.971291444309958
AZ,2021-01-01,5540,5798,95.5501897205933,67.7552233006405,32.7941700638214,0.523215971153619,2782219.02868565,90.5200687785185,0.0326310785282674,32.6310785282674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.19397,28304.975,106.013855535629,3934.54170645694,3.93454170645694,58196.0,122.843753957867,21.6750660847361,6.4,128.0,1.387031006538451,5.582068873513773,0.1230340470772439,50.34,59.0,2021,7.264877,1.9830513663902798
AZ,2021-02-01,5810,5460,106.410256410256,71.4703218298085,32.8259041713359,0.161081198127233,2563719.20130893,92.4801042027548,0.0081521818441337,8.15218184413372,0.0,0.168,0.0,0.243680412123257,0.243680412123257,0.243680412123257,0.0,0.0,243.680412123257,1,7.195129,28304.975,106.013855535629,3933.90792576478,3.93390792576478,58196.0,122.843753957867,21.6750660847361,6.2,124.0,1.387031006538451,5.582068873513773,0.1230340470772439,35.65,36.0,2021,7.264877,1.9830513663902798
AZ,2021-03-01,6377,5787,110.195265249698,71.3265481193,32.7896435928433,-0.11564715774175,2855981.08587729,94.5039093963751,0.00341645611795,3.41645611795009,0.171,0.296,17.1,0.225405484371857,0.469114077442174,0.469085896495115,0.0,0.0,225.405484371857,1,7.194297,28304.975,106.013855535629,3934.36287103521,3.93436287103521,58196.0,122.843753957867,21.6750660847361,6.0,122.448979591837,1.387031006538451,5.582068873513773,0.1230340470772439,61.26,45.0,2021,7.264877,1.9830513663902798
