"MSA.Code","MSA.Title","MSA.Name","date","congestion","congestion_19pct","onsite_pct","S","iv","net_mig_rate","vrm","vrm_19pct","covid_cases","vaccine","reopened","pop_million","transitcommute_pct","noveh_pct"
"C2726","Jacksonville, FL","Jacksonville FL",2020-10-01,138,71.875,75.4906581510193,0.0051395143119911,33.846907701512,0.76187195251219,721500,87.1269481295782,0.00495633056808076,0,0,1.50944,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-11-01,138,80.7017543859649,72.2393854603639,0.0426697746011714,33.6494676927451,0.618389882241087,693854,90.4651329556641,0.00896599026206875,0,0,1.510374,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-12-01,132,72.9281767955801,70.2856575217009,0.0310914485193565,33.5510180901977,0.685452656790679,731322,93.4121686349946,0.0175016755813681,0,1,1.51141,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-01-01,142,90.4458598726115,73.3959057011566,0.0299085972010189,31.9501396324811,0.525061433510294,707433,89.7418235235913,0.0213607285453867,0,1,1.512204,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-02-01,165,94.2857142857143,76.2533460620805,0.0128434192104668,31.9064641736589,0.380095175832028,666382,91.6856078325619,0.00713393436936855,0,1,1.512779,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-03-01,181,100,75.4216007936557,0.00412734574493216,31.8416821436022,0.524586524733197,745947,93.5981118438883,0.00391121113889983,0.158,1,1.513573,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-04-01,172,92.972972972973,76.1871762137521,0.00771391493476806,31.4753841154296,0.171088997986567,686537,86.2047229857246,0.00472031482674358,0.29,1,1.513832,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-05-01,170,100,77.9344541479218,0.0259596236469332,31.1894291139273,0.20011425665479,674471,83.2515799348277,0.00342027231783105,0.392,1,1.514135,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-06-01,194,119.753086419753,76.082677550289,0.00804172970109428,31.0278201804977,0.317572242733472,680944,88.784697005454,0.00114161205271105,0.458,1,1.514616,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-07-01,178,105.952380952381,73.3916102921856,0.0269104591793997,32.1968325352506,0.454034305987445,687337,84.8504487955786,0.0223106593054096,0.489,1,1.515304,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-08-01,160,82.4742268041237,76.0436564174658,0.00399640525481983,32.3109753521545,0.335793399317726,694266,84.8707927733437,0.0259382603683932,0.53,1,1.515813,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-09-01,152,92.6829268292683,78.6416286533922,0.0313318241031946,32.3276680848835,0.393033805523444,668390,87.1008307541945,0.0144184754687064,0.573,1,1.516409,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-10-01,168,87.5,83.0254649020316,0.00960528415550918,35.7229161580038,0.591179366587887,670005,80.9085112703508,0.00457687984582044,0.597,1,1.517306,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-11-01,163,95.3216374269006,78.0163096368617,0.0627699999498221,35.5686723812015,0.42162237655358,656806,85.6347907716579,0.00132416566479506,0.614,1,1.517946,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2021-12-01,164,90.6077348066298,75.8225672349583,0.0273581614334834,35.4376188749624,0.67808839639336,690098,88.1466040276,0.0108404246718599,0.634,1,1.518976,1.1227619835096,5.86429781203553
